,Instrument,Date,Time,Open,High,Low,Close
6224,NIFTY,2012-04-23 13:00:00,13:00,5248.7,5249.45,5248.3,5249.45
6225,NIFTY,2012-04-23 14:00:00,14:00,5217.15,5219.65,5215.9,5219.3
6226,NIFTY,2012-04-23 15:00:00,15:00,5213.8,5214.95,5213.4,5214.5
6227,NIFTY,2012-04-24 10:00:00,10:00,5196.55,5199.45,5196.5,5198.45
6228,NIFTY,2012-04-24 11:00:00,11:00,5201.75,5211.05,5201.45,5209.5
6229,NIFTY,2012-04-24 12:00:00,12:00,5213.85,5214.1,5212.5,5213.0
6230,NIFTY,2012-04-24 13:00:00,13:00,5224.15,5225.3,5224.15,5225.15
6231,NIFTY,2012-04-24 14:00:00,14:00,5214.15,5214.25,5211.6,5211.6
6232,NIFTY,2012-04-24 15:00:00,15:00,5218.5,5219.55,5218.4,5219.2
6233,NIFTY,2012-04-25 10:00:00,10:00,5231.5,5232.8,5231.5,5231.85
6234,NIFTY,2012-04-25 11:00:00,11:00,5226.75,5227.15,5224.05,5224.15
6235,NIFTY,2012-04-25 12:00:00,12:00,5177.15,5184.3,5176.9,5184.3
6236,NIFTY,2012-04-25 13:00:00,13:00,5186.8,5189.85,5186.6,5189.85
6237,NIFTY,2012-04-25 14:00:00,14:00,5197.65,5198.45,5195.75,5198.3
6238,NIFTY,2012-04-25 15:00:00,15:00,5204.25,5207.2,5204.25,5207.15
6239,NIFTY,2012-04-26 10:00:00,10:00,5206.9,5207.35,5206.1,5206.25
6240,NIFTY,2012-04-26 11:00:00,11:00,5191.2,5191.45,5188.85,5189.3
6241,NIFTY,2012-04-26 12:00:00,12:00,5195.95,5197.05,5195.85,5196.6
6242,NIFTY,2012-04-26 13:00:00,13:00,5202.85,5206.55,5202.85,5206.3
6243,NIFTY,2012-04-26 14:00:00,14:00,5204.1,5205.25,5203.9,5204.5
6244,NIFTY,2012-04-26 15:00:00,15:00,5187.75,5188.25,5186.8,5187.35
6245,NIFTY,2012-04-27 10:00:00,10:00,5215.25,5215.6,5213.95,5215.2
6246,NIFTY,2012-04-27 11:00:00,11:00,5209.2,5209.3,5208.4,5209.15
6247,NIFTY,2012-04-27 12:00:00,12:00,5206.1,5206.1,5204.85,5204.95
6248,NIFTY,2012-04-27 13:00:00,13:00,5157.65,5157.75,5154.3,5155.65
6249,NIFTY,2012-04-27 14:00:00,14:00,5172.8,5173.55,5172.35,5172.7
6250,NIFTY,2012-04-27 15:00:00,15:00,5176.2,5176.85,5174.4,5175.15
6251,NIFTY,2012-04-28 12:00:00,12:00,5201.65,5201.85,5200.9,5201.45
